audio_id,concern_a,concern_b,primary_focus,protocol_id,audit_status,finding_codes
00ae450b11f1,HIGH_NOTE_CANNOT_REACH,HIGH_NOTE_TOO_EFFORTFUL,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_CANNOT_REACH,HIGH_NOTE_FLIPS,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_CANNOT_REACH,HIGH_NOTE_THINS,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_CANNOT_REACH,HIGH_NOTE_UNSTABLE,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_CANNOT_REACH,THROAT_EFFORT,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_CANNOT_REACH,LOUD_VOICE_DIFFICULT,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_CANNOT_REACH,VOCAL_FATIGUE,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_CANNOT_REACH,AFTER_SINGING_FATIGUE,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_CANNOT_REACH,TIMBRE_DISSATISFIED,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_CANNOT_REACH,VOICE_TOO_THIN,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_CANNOT_REACH,VOICE_TOO_DARK_MUFFLED,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_CANNOT_REACH,VOICE_TOO_NASAL_PERCEPT,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_CANNOT_REACH,VOICE_TOO_BREATHY,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_CANNOT_REACH,VOICE_TOO_SHARP,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_CANNOT_REACH,VOICE_ROUGH,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_CANNOT_REACH,TIMBRE_CHANGES_HIGH,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_CANNOT_REACH,PITCH_UNSTABLE,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_CANNOT_REACH,REGISTER_CONNECTION_DIFFICULT,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_CANNOT_REACH,VIBRATO_UNSTABLE,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_CANNOT_REACH,DYNAMICS_DIFFICULT,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_CANNOT_REACH,PHRASE_END_WEAK,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_CANNOT_REACH,PAIN_WHILE_SINGING,SAFETY,SAFETY,PASS,
00ae450b11f1,HIGH_NOTE_CANNOT_REACH,PAIN_AFTER_SINGING,SAFETY,SAFETY,PASS,
00ae450b11f1,HIGH_NOTE_CANNOT_REACH,SPEAKING_DISCOMFORT,SAFETY,SAFETY,PASS,
00ae450b11f1,HIGH_NOTE_CANNOT_REACH,PERSISTENT_HOARSENESS,SAFETY,SAFETY,PASS,
00ae450b11f1,HIGH_NOTE_CANNOT_REACH,OTHER_CONCERN,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_TOO_EFFORTFUL,HIGH_NOTE_FLIPS,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_TOO_EFFORTFUL,HIGH_NOTE_THINS,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_TOO_EFFORTFUL,HIGH_NOTE_UNSTABLE,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_TOO_EFFORTFUL,THROAT_EFFORT,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_TOO_EFFORTFUL,LOUD_VOICE_DIFFICULT,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_TOO_EFFORTFUL,VOCAL_FATIGUE,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_TOO_EFFORTFUL,AFTER_SINGING_FATIGUE,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_TOO_EFFORTFUL,TIMBRE_DISSATISFIED,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_TOO_EFFORTFUL,VOICE_TOO_THIN,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_TOO_EFFORTFUL,VOICE_TOO_DARK_MUFFLED,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_TOO_EFFORTFUL,VOICE_TOO_NASAL_PERCEPT,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_TOO_EFFORTFUL,VOICE_TOO_BREATHY,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_TOO_EFFORTFUL,VOICE_TOO_SHARP,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_TOO_EFFORTFUL,VOICE_ROUGH,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_TOO_EFFORTFUL,TIMBRE_CHANGES_HIGH,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_TOO_EFFORTFUL,PITCH_UNSTABLE,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_TOO_EFFORTFUL,REGISTER_CONNECTION_DIFFICULT,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_TOO_EFFORTFUL,VIBRATO_UNSTABLE,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_TOO_EFFORTFUL,DYNAMICS_DIFFICULT,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_TOO_EFFORTFUL,PHRASE_END_WEAK,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_TOO_EFFORTFUL,PAIN_WHILE_SINGING,SAFETY,SAFETY,PASS,
00ae450b11f1,HIGH_NOTE_TOO_EFFORTFUL,PAIN_AFTER_SINGING,SAFETY,SAFETY,PASS,
00ae450b11f1,HIGH_NOTE_TOO_EFFORTFUL,SPEAKING_DISCOMFORT,SAFETY,SAFETY,PASS,
00ae450b11f1,HIGH_NOTE_TOO_EFFORTFUL,PERSISTENT_HOARSENESS,SAFETY,SAFETY,PASS,
00ae450b11f1,HIGH_NOTE_TOO_EFFORTFUL,OTHER_CONCERN,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_FLIPS,HIGH_NOTE_THINS,REGISTER_CONNECTION,REGISTER_CONNECTION,PASS,
00ae450b11f1,HIGH_NOTE_FLIPS,HIGH_NOTE_UNSTABLE,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_FLIPS,THROAT_EFFORT,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_FLIPS,LOUD_VOICE_DIFFICULT,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_FLIPS,VOCAL_FATIGUE,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_FLIPS,AFTER_SINGING_FATIGUE,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_FLIPS,TIMBRE_DISSATISFIED,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_FLIPS,VOICE_TOO_THIN,REGISTER_CONNECTION,REGISTER_CONNECTION,PASS,
00ae450b11f1,HIGH_NOTE_FLIPS,VOICE_TOO_DARK_MUFFLED,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_FLIPS,VOICE_TOO_NASAL_PERCEPT,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_FLIPS,VOICE_TOO_BREATHY,REGISTER_CONNECTION,REGISTER_CONNECTION,PASS,
00ae450b11f1,HIGH_NOTE_FLIPS,VOICE_TOO_SHARP,REGISTER_CONNECTION,REGISTER_CONNECTION,PASS,
00ae450b11f1,HIGH_NOTE_FLIPS,VOICE_ROUGH,STABILITY,STABILITY,PASS,
00ae450b11f1,HIGH_NOTE_FLIPS,TIMBRE_CHANGES_HIGH,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_FLIPS,PITCH_UNSTABLE,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_FLIPS,REGISTER_CONNECTION_DIFFICULT,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_FLIPS,VIBRATO_UNSTABLE,EFFORT,EFFORT,PASS,
00ae450b11f1,HIGH_NOTE_FLIPS,DYNAMICS_DIFFICULT,DYNAMICS,DYNAMICS,PASS,
00ae450b11f1,HIGH_NOTE_FLIPS,PHRASE_END_WEAK,DYNAMICS,PHRASE_ENDURANCE,PASS,
00ae450b11f1,HIGH_NOTE_FLIPS,PAIN_WHILE_SINGING,SAFETY,SAFETY,PASS,
00ae450b11f1,HIGH_NOTE_FLIPS,PAIN_AFTER_SINGING,SAFETY,SAFETY,PASS,
00ae450b11f1,HIGH_NOTE_FLIPS,SPEAKING_DISCOMFORT,SAFETY,SAFETY,PASS,
00ae450b11f1,HIGH_NOTE_FLIPS,PERSISTENT_HOARSENESS,SAFETY,SAFETY,PASS,
00ae450b11f1,HIGH_NOTE_FLIPS,OTHER_CONCERN,REGISTER_CONNECTION,REGISTER_CONNECTION,PASS,
00ae450b11f1,HIGH_NOTE_THINS,HIGH_NOTE_UNSTABLE,EFFORT,EFFORT,FAIL,UNSUPPORTED_ACOUSTIC_CLAIM
00ae450b11f1,HIGH_NOTE_THINS,THROAT_EFFORT,EFFORT,EFFORT,FAIL,UNSUPPORTED_ACOUSTIC_CLAIM
00ae450b11f1,HIGH_NOTE_THINS,LOUD_VOICE_DIFFICULT,EFFORT,EFFORT,FAIL,UNSUPPORTED_ACOUSTIC_CLAIM
00ae450b11f1,HIGH_NOTE_THINS,VOCAL_FATIGUE,EFFORT,EFFORT,FAIL,UNSUPPORTED_ACOUSTIC_CLAIM
00ae450b11f1,HIGH_NOTE_THINS,AFTER_SINGING_FATIGUE,EFFORT,EFFORT,FAIL,UNSUPPORTED_ACOUSTIC_CLAIM
00ae450b11f1,HIGH_NOTE_THINS,TIMBRE_DISSATISFIED,EFFORT,EFFORT,FAIL,UNSUPPORTED_ACOUSTIC_CLAIM
